"TaskName","TaskPath","Description","Actions","Arguments"
"StartComponentCleanup","\Microsoft\Windows\Servicing\","","",""
"Account Cleanup","\Microsoft\Windows\SharedPC\","","","%windir%\System32\Windows.SharedPC.AccountManager.dll,StartMaintenance"
"CreateObjectTask","\Microsoft\Windows\Shell\","","",""
"IndexerAutomaticMaintenance","\Microsoft\Windows\Shell\","","",""
"Collection","\Microsoft\Windows\Software Inventory Logging\","","","/d /c %systemroot%\system32\silcollector.cmd publish"
"Configuration","\Microsoft\Windows\Software Inventory Logging\","","","/d /c %systemroot%\system32\silcollector.cmd configure"
"SvcRestartTask","\Microsoft\Windows\SoftwareProtectionPlatform\","","",""
"SvcRestartTaskLogon","\Microsoft\Windows\SoftwareProtectionPlatform\","","",""
"SvcRestartTaskNetwork","\Microsoft\Windows\SoftwareProtectionPlatform\","","",""
"SpaceAgentTask","\Microsoft\Windows\SpacePort\","","",""
"SpaceManagerTask","\Microsoft\Windows\SpacePort\","","","/Work"
"HeadsetButtonPress","\Microsoft\Windows\Speech\","","","StartedFromTask"
"SpeechModelDownloadTask","\Microsoft\Windows\Speech\","","",""
"Storage Tiers Management Initialization","\Microsoft\Windows\Storage Tiers Management\","","",""
"Storage Tiers Optimization","\Microsoft\Windows\Storage Tiers Management\","","","-c -h -g -# -m 8 -i 13500"
"Interactive","\Microsoft\Windows\Task Manager\","","",""
"MsCtfMonitor","\Microsoft\Windows\TextServicesFramework\","","",""
"ForceSynchronizeTime","\Microsoft\Windows\Time Synchronization\","","",""
"SynchronizeTime","\Microsoft\Windows\Time Synchronization\","","","start w32time task_started"
"SynchronizeTimeZone","\Microsoft\Windows\Time Zone\","","",""
"Tpm-HASCertRetr","\Microsoft\Windows\TPM\","","",""
"Tpm-Maintenance","\Microsoft\Windows\TPM\","","",""
"Backup Scan","\Microsoft\Windows\UpdateOrchestrator\","","","StartScan"
"MusUx_UpdateInterval","\Microsoft\Windows\UpdateOrchestrator\","","","Display"
"Schedule Scan","\Microsoft\Windows\UpdateOrchestrator\","","","StartScan"
"Schedule Scan Static Task","\Microsoft\Windows\UpdateOrchestrator\","","","StartScan"
"USO_UxBroker","\Microsoft\Windows\UpdateOrchestrator\","","",""
"UPnPHostConfig","\Microsoft\Windows\UPnP\","","","config upnphost start= auto"
"HiveUploadTask","\Microsoft\Windows\User Profile Service\","","",""
"PerformRemediation","\Microsoft\Windows\WaaSMedic\","","",""
"ResolutionHost","\Microsoft\Windows\WDI\","","",""
"Windows Defender Cache Maintenance","\Microsoft\Windows\Windows Defender\","","","-IdleTask -TaskName WdCacheMaintenance"
"Windows Defender Cleanup","\Microsoft\Windows\Windows Defender\","","","-IdleTask -TaskName WdCleanup"
"Windows Defender Scheduled Scan","\Microsoft\Windows\Windows Defender\","","","Scan -ScheduleJob -ScanTrigger 55 -IdleScheduledJob"
"Windows Defender Verification","\Microsoft\Windows\Windows Defender\","","","-IdleTask -TaskName WdVerification"
"QueueReporting","\Microsoft\Windows\Windows Error Reporting\","","","-upload"
"BfeOnServiceStartTypeChange","\Microsoft\Windows\Windows Filtering Platform\","","","bfe.dll,BfeOnServiceStartTypeChange"
"UpdateLibrary","\Microsoft\Windows\Windows Media Sharing\","","",""
"Calibration Loader","\Microsoft\Windows\WindowsColorSystem\","","",""
"Scheduled Start","\Microsoft\Windows\WindowsUpdate\","","","start wuauserv"
"CacheTask","\Microsoft\Windows\Wininet\","","",""
"Automatic-Device-Join","\Microsoft\Windows\Workplace Join\","","","$(Arg0) $(Arg1) $(Arg2)"
"Recovery-Check","\Microsoft\Windows\Workplace Join\","","","/checkrecovery"
"Firefox Background Update S-1-5-21-2003092711-703780715-2495439690-500 308046B0AF4A39CB","\Mozilla\","","","--MOZ_LOG sync,prependheader,timestamp,append,maxsize:1,Dump:5 --MOZ_LOG_FILE C:\ProgramData\Mozilla-1de4eec8-1241-4177-a864-e594e8d1fb38\updates\308046B0AF4A39CB\backgroundupdate.moz_log --backgroundtask backgroundupdate"
"Firefox Default Browser Agent 308046B0AF4A39CB","\Mozilla\","","","do-task ""308046B0AF4A39CB"""
